game_id,round_id,timestamp,num_alive,num_killed
4777e732-d8a0-4726-9e3d-6db78e103a39,0,2025-04-09T16:41:34.459343,8,0
b37b0088-a9d5-4d09-a2bb-2802e66b388d,0,2025-04-09T16:41:44.145732,8,0
fd77b319-deee-41ee-a27f-49b9097b8e55,0,2025-04-09T16:42:28.693419,8,0
fd77b319-deee-41ee-a27f-49b9097b8e55,1,2025-04-09T16:42:34.843975,7,1
0deead43-2d9d-40dd-84c0-0bcd650ffdd4,0,2025-04-09T16:42:38.291927,8,0
e2ce4154-c3b8-45b0-9dee-328ac6582c68,0,2025-04-09T16:44:36.632319,8,0
e2ce4154-c3b8-45b0-9dee-328ac6582c68,1,2025-04-09T16:44:42.888933,8,0
e2ce4154-c3b8-45b0-9dee-328ac6582c68,2,2025-04-09T16:44:55.802182,7,1
e2ce4154-c3b8-45b0-9dee-328ac6582c68,3,2025-04-09T16:45:05.849325,7,1
e2ce4154-c3b8-45b0-9dee-328ac6582c68,4,2025-04-09T16:45:14.694064,7,1
e2ce4154-c3b8-45b0-9dee-328ac6582c68,5,2025-04-09T16:45:27.279476,7,1
